u,g,r,i,z,specClass,redshift,redshifterr
19.304535,17.392828,16.39437,15.960631,15.595598,2,0.106482,0.000149794
19.4251,18.235456,17.670689,17.331003,17.106892,2,0.104277,5.70257e-05
18.717146,17.691807,17.307135,17.005531,16.859081,2,0.0636945,7.3849e-05
19.119053,18.923489,18.682734,18.607841,18.622066,3,1.31292,0.00162049
19.05376,17.57468,16.940939,16.53757,16.328413,2,0.0703815,0.000202613
19.074526,17.259136,16.411282,16.03133,15.728741,2,0.0650441,0.00014938
19.462664,17.893759,17.163439,16.783878,16.521002,2,0.103782,0.000119455
17.674664,15.78344,14.927521,14.520087,14.177473,2,0.0479771,0.000181942
16.79852,15.468529,14.832116,14.500218,14.236664,2,0.0232321,0.000173679
18.219603,16.870466,16.191584,15.806758,15.537052,2,0.0841108,0.000160691
19.485664,17.976902,17.216686,16.813755,16.483156,2,0.0844638,0.000181849
18.364368,16.557259,15.713872,15.330298,15.023462,2,0.0831934,0.000139084
19.067636,17.325953,16.337257,15.875103,15.569318,2,0.13581,0.000144357
17.971798,16.257048,15.39367,14.913621,14.591903,2,0.0838907,0.000169943
19.216446,17.678093,17.022322,16.63358,16.404877,2,0.0834352,9.7372e-05
18.7845,17.239109,16.31263,15.871603,15.54226,2,0.143076,0.000138805
19.411383,17.790728,16.964645,16.593801,16.280182,2,0.111173,0.000115758
19.378342,18.27111,17.593513,17.169882,16.938534,2,0.112548,0.000106922
19.048685,17.821678,17.177906,16.773552,16.484896,2,0.134162,6.96795e-05
19.406805,18.239311,17.645897,17.279148,17.020191,2,0.106769,6.88686e-05
17.85945,16.983204,16.808643,16.616652,16.609983,2,0.00874564,0.000340574
18.497976,17.297739,16.6428,16.239058,15.987185,2,0.0999022,6.14279e-05
18.909632,17.520481,17.069551,16.836506,16.781057,2,0.0602723,0.000100215
17.589098,16.448828,15.9729395,15.752016,15.700698,2,0.00333795,0.00022899
18.999191,18.959576,18.60954,18.643885,18.801983,3,1.27642,0.00146838
19.43058,18.033918,17.561169,17.271994,17.23213,2,0.0886078,8.18008e-05
19.20309,17.978344,17.318003,16.955605,16.698269,2,0.107181,0.00017917
17.922066,17.07701,16.74563,16.64413,16.498722,2,0.00787587,1.0941e-05
18.918634,17.0598,16.088243,15.609122,15.23154,2,0.0889613,0.000162308
19.125273,17.77075,17.06091,16.660568,16.358595,2,0.0841388,0.000100817
18.609547,17.576756,17.131374,16.961626,16.823372,2,0.023427,9.62734e-05
19.188879,17.488783,16.622559,16.18109,15.900292,2,0.0886192,0.000136237
19.338509,17.979046,17.004602,16.52485,16.208252,2,0.191132,0.00016036
18.485323,16.766912,15.889847,15.444236,15.124365,2,0.0850314,0.000149214
18.774635,16.942879,16.04009,15.599722,15.275513,2,0.0833597,0.000143725
18.49718,16.972404,16.155033,15.702873,15.364986,2,0.0892762,0.000164334
18.96801,17.060556,16.148783,15.742958,15.392587,2,0.0835113,0.000168928
19.489157,17.901545,17.141094,16.779787,16.544111,2,0.0778999,0.000164919
19.15571,17.611712,16.679295,16.242018,15.88263,2,0.141079,9.6743e-05
18.362389,16.375042,15.397808,14.955639,14.600976,2,0.0844048,0.000177673
18.393446,17.499668,16.96543,16.540255,16.384436,2,0.0869288,-4.05703e-37
19.00255,17.006403,16.045437,15.579699,15.24338,2,0.0833592,0.000185662
18.944107,17.94688,17.56805,17.305918,17.110506,2,0.0850078,5.10558e-05
18.069038,17.884401,18.097258,17.983557,17.844042,3,0.447231,0.00186853
19.215672,17.290922,16.371529,15.932114,15.615163,2,0.0880329,0.000168576
19.393694,17.378914,16.421753,15.8892145,15.514168,2,0.0871415,0.000163669
19.486483,17.578053,16.70322,16.286041,15.95985,2,0.0814851,0.000161081
19.42033,17.482086,16.562986,16.158411,15.827675,2,0.0851417,0.000154603
18.93587,18.430666,18.341324,18.372717,18.244709,4,2.3508,0.00133345
19.468489,17.77293,16.904564,16.489977,16.209953,2,0.0837698,0.000150024
18.241707,18.200241,18.020452,18.00105,17.998898,3,1.21681,0.0013782
19.055626,17.882137,17.289234,16.87486,16.633425,2,0.119206,6.61896e-05
18.905481,17.760988,17.4722,17.221888,17.125423,2,0.0652219,8.87051e-05
18.88765,17.54271,16.865108,16.47137,16.191008,2,0.0850215,9.44582e-05
19.16799,17.357418,16.409508,16.012432,15.672185,2,0.0838895,0.000159434
19.516193,18.208506,17.497965,17.154606,16.919888,2,0.10505,0.000154814
19.004787,17.122168,16.196276,15.751284,15.402909,2,0.0832222,0.000171565
18.670773,16.60939,15.642244,15.196281,14.852352,2,0.0804895,0.000178669
19.09596,17.664148,16.99271,16.628584,16.360228,2,0.0635214,0.000159009
19.153357,17.25029,16.309275,15.875582,15.537021,2,0.108033,0.000159183
19.362421,19.301228,19.031864,18.939756,18.934557,3,1.42068,0.00171839
19.318562,19.116434,18.729715,18.453085,18.219118,3,0.432314,0.00137867
18.667883,17.129278,16.347717,15.918175,15.643418,2,0.0855407,0.000116957
19.578709,18.310093,17.540596,17.138878,16.843973,2,0.114999,0.000160124
19.323797,17.41466,16.50096,16.04903,15.703306,2,0.0834731,0.00017083
19.21704,17.242338,16.343187,15.930096,15.59669,2,0.0833668,0.000166239
19.235323,17.353956,16.39603,15.9278,15.560778,2,0.0845446,0.000181274
18.163612,16.201141,15.238797,14.794398,14.472323,2,0.0852525,0.000176962
18.157797,17.037462,16.445896,16.071093,15.787671,2,0.084797,0.000103062
19.104227,17.974827,17.599846,17.373636,17.247574,2,0.0764639,7.44084e-05
19.26975,18.109407,17.320272,16.906994,16.661537,2,0.1792,0.000155363
18.427973,18.225077,18.132145,18.186472,18.12404,3,0.858474,0.0015853
19.55738,17.7203,16.908688,16.510746,16.238453,2,0.0763627,0.000143968
19.349127,17.675997,16.897774,16.4781,16.159052,2,0.0762071,0.000157562
18.78539,18.587898,18.589931,18.402414,18.368275,3,1.71097,0.00184619
19.238573,17.445696,16.545498,16.110155,15.746833,2,0.0851159,0.000142215
18.764345,17.436083,16.77557,16.434818,16.191793,2,0.071179,0.000144923
19.036724,17.819807,17.116428,16.710718,16.456736,2,0.142633,0.000106691
19.150288,18.047812,17.613892,17.413998,17.319242,2,0.0347559,0.000109826
19.064062,17.575556,16.861403,16.477116,16.198399,2,0.0710781,0.000189112
19.04665,17.699265,16.999565,16.633219,16.379278,2,0.0804618,0.000154597
18.72955,17.432255,16.763199,16.38381,16.155632,2,0.0825912,0.000137212
19.526402,17.712206,16.690882,16.239243,15.893018,2,0.137133,0.000147826
18.144007,17.029419,16.695694,16.500067,16.408266,2,0.0223581,8.93466e-05
19.142485,18.824177,18.691746,18.655949,18.487816,3,0.842871,0.00232072
19.306072,17.613453,16.684904,16.19475,15.847434,2,0.0937144,0.000153011
19.092012,18.576773,18.600595,18.469313,18.235435,3,2.27483,0.00137611
19.24829,18.236334,17.811874,17.461422,17.379072,2,0.0923211,8.05117e-05
19.289553,18.074112,17.411224,17.003208,16.76118,2,0.102382,8.48745e-05
18.992765,17.43671,16.572376,16.08892,15.800467,2,0.0937932,0.00017627
18.951647,17.588148,16.798403,16.358723,16.088194,2,0.0894415,0.000102948
18.504517,16.940191,16.193508,15.76737,15.478811,2,0.0536513,0.000171784
17.905703,16.899275,16.526806,16.328022,16.142248,2,0.0258082,7.0725e-05
17.950222,17.954788,17.974684,17.79719,17.767725,3,1.7634,0.00173075
17.558502,16.462677,15.934611,15.677525,15.455579,2,0.0163452,0.000100141
15.513992,14.381149,13.689701,13.328085,13.048464,2,0.01626,9.83197e-05
17.992512,17.0374,16.458506,16.622995,15.976398,2,0.034247,8.31062e-05
18.070068,16.908237,16.433159,16.124775,15.934271,2,0.0534324,9.32629e-05
18.664944,17.461771,16.817732,16.438032,16.228165,2,0.080395,9.40885e-05
17.35685,15.958188,15.235329,14.782526,14.500297,2,0.0843375,0.000215963
16.165913,14.95611,14.336833,14.030404,13.801865,2,0.0267975,9.00649e-05
19.22171,17.78199,16.947813,16.486036,16.153347,2,0.0964899,0.000139159
17.261932,16.317389,15.920539,15.722942,15.547333,2,0.0162218,0.000104247
19.456686,19.180744,18.783926,18.608578,18.531849,3,1.15841,0.00186579
19.010946,17.986046,17.446701,17.073093,16.891115,2,0.0801734,8.84839e-05
18.74077,17.644808,17.192493,16.83457,16.707197,2,0.0872008,8.54634e-05
19.506474,19.359655,19.263582,19.011213,18.95828,3,1.64183,0.00160277
19.186192,17.698576,16.886057,16.466797,16.16636,2,0.131049,0.000154604
18.6942,18.37524,18.013224,17.856867,17.595842,3,0.263429,0.000876951
18.414028,17.448715,17.17226,16.934864,16.846252,2,0.0539023,8.12927e-05
18.59143,18.20555,18.146044,17.913692,17.991735,3,0.534862,0.0013471
18.66589,17.80615,17.414856,17.272127,17.267744,2,0.0162234,0.000102866
17.183867,15.89548,15.243995,14.896438,14.674703,2,0.0534914,0.000162274
19.108507,17.378197,16.500765,16.03067,15.71661,2,0.0895624,0.000170319
19.075464,17.780191,17.077509,16.641794,16.44401,2,0.0844583,3.75378e-05
19.133667,17.828125,17.191792,16.831816,16.61317,2,0.133477,0.000108563
19.47291,18.125774,17.46333,17.087864,16.832825,2,0.0847904,0.000166613
19.400385,17.612913,16.67014,16.22777,15.888556,2,0.0928722,0.000167409
18.98022,17.16894,16.27653,15.837787,15.476799,2,0.0958446,0.000150558
18.966797,17.236004,16.47256,16.097265,15.792501,2,0.0269453,0.000176874
19.191248,17.097027,15.810813,15.299039,15.045331,2,0.150339,0.000150014
18.68974,18.133888,17.546206,17.134022,16.992887,2,0.134553,0.00108058
19.187826,17.718859,16.92929,16.550072,16.252934,2,0.0778721,0.000168961
18.683567,17.703682,17.314257,17.043636,16.908537,2,0.0697306,7.52825e-05
19.25486,17.833336,17.137745,16.707619,16.449108,2,0.0843803,0.000101789
17.569242,16.159218,15.630221,15.309692,15.08293,2,0.0279877,0.000157982
19.109266,18.166391,17.594313,17.194502,17.009228,2,0.20039,3.55809e-05
18.116426,16.81653,16.160702,15.798329,15.538047,2,0.0544586,0.000159279
18.59106,17.65679,17.257078,16.995678,16.847288,2,0.051523,7.91134e-05
19.10861,19.12799,18.934912,18.929718,19.049406,3,1.21408,0.00261119
19.055317,18.105501,17.718218,17.259432,17.128946,2,0.0747027,3.56919e-05
19.38665,18.532307,18.043417,17.669775,17.482635,2,0.151135,0.000104504
18.20823,16.559212,15.795239,15.400609,15.148969,2,0.07446,0.000145191
18.87963,17.27547,16.524567,16.07892,15.812748,2,0.0707193,2.8845e-05
18.048199,16.339344,15.495101,15.052924,14.743941,2,0.0716321,0.000159374
18.472721,17.47708,17.144974,16.855762,16.728716,2,0.0657911,6.97956e-05
19.111216,18.535706,18.52461,18.476458,18.279972,4,2.33593,0.00501752
18.63354,18.62349,18.554201,18.612036,18.110796,3,0.313177,0.00128722
19.272459,18.133389,17.570549,17.202314,16.955223,2,0.102431,8.62869e-05
18.651945,17.589764,17.261349,17.001675,16.860239,2,0.0708765,7.52501e-05
17.389883,15.473288,14.612101,14.204098,13.850216,2,0.0317342,0.000177684
16.965199,16.259943,15.825048,15.482177,15.368499,3,0.0926329,0.00102881
19.43502,17.601103,16.592804,16.131021,15.728195,2,0.126919,0.000147428
19.082052,17.170015,16.132362,15.71079,15.434981,2,0.0927673,0.00015609
16.886656,14.991458,14.158915,13.748519,13.409861,2,0.0300371,0.000179295
17.128996,15.781923,15.209945,14.9038315,14.66692,2,0.030519,0.000135927
17.487041,16.552532,17.582962,17.073439,17.340693,2,0.0474055,0.00098976
19.591074,18.298143,17.521942,17.098671,16.817322,2,0.0299896,0.000223054
19.527534,19.332792,19.092768,19.08174,19.044695,3,1.21722,0.00244866
17.823357,15.922839,14.953838,14.422131,13.944462,2,0.0292911,0.000183166
19.065506,17.829771,17.222895,16.883852,16.613844,2,0.0282272,7.71199e-05
18.99602,18.73567,18.655628,18.553484,18.39358,3,2.11535,0.00154028
19.567072,17.535446,16.529493,16.0828,15.723686,2,0.102528,0.000135025
18.95059,17.036537,16.046568,15.604796,15.232915,2,0.102703,0.00015871
18.937035,17.572727,16.737806,16.256672,16.087034,2,0.0991154,0.000146445
17.99254,16.884922,16.461105,16.145994,16.027594,2,0.0785463,0.000190761
18.175755,16.149855,15.137784,14.677962,14.32101,2,0.0998086,0.000175838
19.418688,17.489958,16.492884,16.05111,15.721211,2,0.0981502,0.000134776
18.704279,16.90651,16.08727,15.670852,15.373426,2,0.0520571,0.000149907
19.102222,18.58924,17.928507,17.577532,17.321018,3,0.247728,0.000919674
19.563171,19.130554,18.493076,18.169857,17.896755,2,0.247304,0.00077677
18.968546,17.180752,16.287073,15.865971,15.556631,2,0.0993176,0.000145387
19.502682,18.060871,17.18447,16.693993,16.413626,2,0.180599,0.000160162
19.329556,17.933455,17.237164,16.858324,16.592672,2,0.116449,0.000135298
18.702942,17.485863,16.85136,16.441103,16.217524,2,0.0994837,0.000149842
19.246729,17.65291,16.773966,16.323702,15.986459,2,0.107842,0.000159463
18.4155,16.999826,16.073868,15.6042795,15.259881,2,0.137295,0.000162128
17.81379,16.87486,16.476162,16.260725,16.145512,2,0.0251434,0.000109354
18.751759,17.687475,17.314068,17.402493,17.181545,2,0.0296826,7.67373e-05
19.570248,19.315174,18.915249,18.94059,19.048883,3,1.38471,0.00261457
19.06912,17.889326,17.555021,17.334396,17.228783,2,0.0293589,7.91479e-05
19.259663,18.022463,17.350046,16.986979,16.741531,2,0.10895,0.000145268
19.080103,17.619913,16.848137,16.355757,16.049099,2,0.0996692,4.67684e-05
18.07503,16.650106,15.894556,15.465964,15.16082,2,0.099372,0.000129823
18.945463,17.917377,17.4595,17.114098,16.95657,2,0.111828,-0.008425975
18.677786,18.512661,18.338326,18.221945,18.351074,3,1.46049,0.0026372
19.464323,17.40676,16.382538,15.932427,15.565346,2,0.10935,0.00017189
18.199125,16.323053,15.43793,15.020442,14.689222,2,0.0492563,0.000171852
18.636925,17.362333,16.622656,16.198212,15.942153,2,0.0987414,0.000114496
17.988869,16.682503,16.056358,15.690777,15.395604,2,0.0301608,8.7317e-05
18.568407,17.155848,16.304167,15.82894,15.490248,2,0.106882,9.69238e-05
19.38296,17.402565,16.355856,15.87287,15.474732,2,0.111811,0.000166686
19.185955,17.452175,16.424545,15.926435,15.508868,2,0.106196,0.000158974
19.273176,17.567884,16.669128,16.215303,15.859002,2,0.106355,0.000139001
17.005909,15.062968,14.171404,13.744973,13.428337,2,0.0484827,0.000195827
19.375835,17.979334,17.264421,16.846317,16.585958,2,0.124354,0.000182867
19.227045,17.264309,16.205624,15.740587,15.374599,2,0.124191,0.000178885
18.827381,17.335579,16.617065,16.221087,15.869981,2,0.0428227,9.62467e-05
19.59293,18.358852,17.689352,17.298523,17.028603,2,0.151227,9.80784e-05
19.451267,17.962334,17.189531,16.751606,16.433296,2,0.0772363,0.000159245
18.834053,17.365082,16.743282,16.350815,16.084873,2,0.0923159,0.000134387
19.502722,18.205582,17.372671,16.913044,16.638573,2,0.170948,0.000112288
18.49445,17.261496,16.655191,16.244305,15.981671,2,0.0774986,9.70114e-05
19.227848,18.980118,18.322594,18.078232,17.622562,3,0.320132,0.00104242
19.212389,17.437544,16.482752,16.05427,15.677771,2,0.0886939,0.00015281
18.36201,18.028584,17.89027,17.919594,17.762085,3,0.861765,0.00135539
19.444748,19.056614,18.775606,18.490402,18.286432,3,1.89796,0.00136697
18.057251,16.63992,15.912192,15.456714,15.13257,2,0.057046,8.57743e-05
18.920198,17.609974,17.080965,16.705215,16.571844,2,0.077551,7.55734e-05
19.07498,17.37849,16.471622,15.9633875,15.60294,2,0.0955942,0.000189226
18.169882,16.669348,15.925858,15.508844,15.241935,2,0.0896162,0.000165048
17.873983,16.893969,16.415218,16.03284,15.888568,2,0.0857528,3.98318e-05
18.958902,17.719612,17.181042,16.92356,16.737352,2,0.0373983,8.5047e-05
18.96818,17.778757,17.224031,16.863705,16.701317,2,0.0766986,8.78019e-05
19.198301,17.860214,17.214308,16.797264,16.526184,2,0.0768333,0.000178983
18.339758,17.176134,16.727951,16.443054,16.23773,2,0.0372709,8.22271e-05
19.066805,17.16957,16.273083,15.832294,15.478279,2,0.0585102,0.000164669
17.295158,15.265753,14.29976,13.835231,13.492091,2,0.058395,0.000195961
19.434631,19.183336,18.943724,18.661264,18.613235,3,1.52186,0.00388628
18.598614,16.905159,15.968329,15.519156,15.145425,2,0.0908086,0.0001517
19.199972,18.79773,18.38207,18.348211,17.819468,3,0.30765,0.00113387
19.38806,18.029226,17.370356,16.93904,16.62691,2,0.0634551,7.43036e-05
18.020357,16.648355,15.993649,15.625785,15.343078,2,0.0471571,9.61616e-05
19.472418,18.326567,17.71383,17.28409,17.013641,2,0.0907295,9.59951e-05
19.387064,18.167412,17.564867,17.159073,16.913412,2,0.0717345,9.25643e-05
19.096941,17.34823,16.40581,15.996946,15.707817,2,0.129295,0.000129678
18.500729,18.373589,17.843115,17.36197,17.25739,3,0.227587,0.0011542
18.761515,16.999987,16.193783,15.758757,15.455772,2,0.0549528,0.00019496
18.302488,16.239851,15.269409,14.811457,14.460285,2,0.0568694,0.000191484
19.507504,17.499794,16.572777,16.13499,15.794192,2,0.0582508,0.000159909
19.14212,18.186386,17.743902,17.411057,17.284325,2,0.12847,4.555e-05
17.221228,15.963873,15.352707,14.950353,14.677368,2,0.054847,0.000103513
18.364004,16.525229,15.637739,15.188889,14.853101,2,0.0827915,0.000143124
19.181938,18.05968,17.648516,17.382977,17.232437,2,0.0398699,9.98757e-05
19.495953,18.320902,17.837069,17.4811,17.31368,2,0.0620012,7.50037e-05
19.294792,17.603893,16.734571,16.279974,16.013615,2,0.128838,0.000852023
19.241537,17.217524,16.176664,15.690207,15.298057,2,0.0827942,0.000151224
19.353355,18.301048,17.701292,17.294945,17.103115,2,0.146073,8.95845e-05
19.546648,18.072445,17.263943,16.807617,16.494562,2,0.0560401,9.1683e-05
18.608744,16.672312,15.767378,15.33448,14.993412,2,0.0550598,0.000168941
19.259197,17.69642,16.940657,16.520525,16.221231,2,0.0629112,9.54361e-05
18.577765,17.345776,16.739965,16.399155,16.152332,2,0.0401611,8.63484e-05
18.176159,17.109167,16.522211,16.106422,15.869685,2,0.0885715,9.21137e-05
19.122643,17.001043,15.971366,15.51315,15.132664,2,0.0890467,0.000186186
19.213844,17.800158,17.162964,16.790905,16.554537,2,0.0570849,8.17842e-05
18.403149,16.400784,15.460522,14.992982,14.621055,2,0.0560002,0.000154903
18.425308,16.613901,15.735144,15.3108015,14.995064,2,0.0369762,0.000153872
17.725704,15.990702,15.128078,14.643239,14.280146,2,0.0367195,0.000193082
19.296648,17.87945,17.062857,16.614077,16.301834,2,0.0982919,0.000129289
19.11573,17.735294,17.196844,16.845873,16.562775,2,0.039923,8.79283e-05
19.118513,18.150576,17.80033,17.462831,17.44711,2,0.117177,4.05776e-05
19.175873,18.157045,17.733492,17.450232,17.263744,2,0.0370321,7.92617e-05
19.546913,18.29591,17.416912,16.936682,16.608835,2,0.126947,0.000100532
19.588871,17.728952,16.84017,16.42414,16.091808,2,0.0556225,0.000176029
18.438993,18.31609,18.10647,18.150791,18.191982,3,1.05299,0.00155697
19.44933,18.24562,17.608225,17.203623,16.98379,2,0.108758,9.31753e-05
19.015429,17.43319,16.886414,16.563992,16.459425,2,0.0532936,0.000281294
17.954762,16.247803,15.420876,14.996464,14.678903,2,0.0599662,0.000157221
18.940657,17.672667,17.128422,16.80673,16.618114,2,0.0541902,9.95666e-05
18.733925,17.691833,17.253355,16.94371,17.05341,2,0.121498,8.81265e-05
19.453127,17.595274,16.646742,16.15487,15.762668,2,0.0900162,0.000167378
19.273914,17.90554,17.182888,16.776964,16.48064,2,0.0921964,0.000159828
19.206148,17.794065,17.094769,16.638052,16.385965,2,0.121153,9.24778e-05
19.259853,17.813951,16.895676,16.441275,16.101791,2,0.154325,0.000171122
18.360327,16.476221,15.533062,15.076768,14.69916,2,0.0575213,0.000185515
19.199425,17.547796,16.64901,16.231615,15.875313,2,0.11397,0.000139527
19.09069,18.145294,17.767727,17.483116,17.382961,2,0.100929,7.81242e-05
18.965124,17.009274,16.147024,15.734939,15.37874,2,0.049889,0.000175366
19.537733,18.324902,17.650711,17.328854,17.204416,2,0.0914998,6.794959e-33
18.754908,17.733902,17.25024,16.90374,16.713959,2,0.0900115,9.67849e-05
18.917912,18.678164,18.362837,18.36285,18.351912,3,1.05364,0.00155958
19.412687,17.87093,17.149992,16.73523,16.467278,2,0.120162,0.000182075
18.903893,17.70829,17.084345,16.669638,16.469763,2,0.119707,0.000102484
19.229464,17.302536,16.293093,15.835398,15.485471,2,0.115977,0.000146908
19.389147,18.28466,17.80918,17.494066,17.333189,2,0.0738613,8.45671e-05
19.289955,19.145168,19.137098,18.917845,18.852814,3,1.79037,0.00145009
18.836336,17.512688,16.864206,16.456276,16.217325,2,0.118807,0.000196837
19.483835,19.295185,19.021261,18.852156,18.485622,3,0.376477,0.00145454
17.221062,15.612705,14.777814,14.338944,13.996253,2,0.0296673,0.000182036
19.0232,17.458447,16.605902,16.188429,15.87058,2,0.0818796,0.000148393
16.58188,14.990284,14.196979,13.7790365,13.411533,2,0.0297747,9.25691e-05
17.782982,16.704086,16.271097,16.010279,15.840448,2,0.0340791,7.35734e-05
19.200829,18.142475,17.547703,17.166794,16.968433,2,0.127422,6.29606e-05
18.506132,16.645832,15.707969,15.230853,14.891658,2,0.0684878,0.000177033
18.882776,17.505518,16.745485,16.3288,16.016094,2,0.117677,0.000135391
18.023499,16.752924,16.372911,16.05635,15.911587,2,0.0609525,7.77459e-05
19.287426,18.019012,17.34826,16.931753,16.724941,2,0.11995,0.000129792
18.288338,17.113209,16.711617,16.459743,16.342415,2,0.0298514,0.000104012
18.044144,16.224667,15.35324,14.9082155,14.581432,2,6.834084e-33,2.713571e-16
19.056002,19.03102,18.732143,18.621014,18.687256,3,1.20568,0.0015539
18.233122,17.041374,16.52219,16.182455,15.997779,2,0.065875,6.75254e-05
18.897623,18.68184,18.5754,18.395658,18.330927,3,1.78242,0.00155993
19.07031,17.184872,16.148363,15.653088,15.261006,2,0.142844,0.000170776
19.372849,17.910643,17.090378,16.627428,16.401083,2,0.144189,9.80125e-05
19.120136,17.69903,17.13108,16.77182,16.561203,2,0.0680602,0.000166787
19.447708,17.978539,16.963287,16.492588,16.269447,2,0.18459,0.00014877
18.885546,17.661665,17.024635,16.70289,16.37695,2,0.0678888,9.68921e-05
18.797964,17.234207,16.39738,15.9592495,15.605494,2,0.118932,0.000135194
19.553553,17.526793,16.051506,15.563364,15.102631,2,0.184843,0.000222425
18.112507,17.259357,16.95929,16.611593,16.533932,2,0.092035,8.28164e-05
19.554718,19.332663,19.088902,19.200825,19.097677,3,1.02644,0.00183195
19.151539,18.20517,17.795105,17.554451,17.433311,2,0.0362338,7.79129e-05
19.161612,17.584097,16.672247,16.154821,15.767247,2,0.0939949,0.000114913
18.811253,17.634846,16.575228,16.121628,15.598346,2,0.276921,0.000888334
18.952272,18.71105,18.42272,18.410381,18.426723,3,1.07872,0.00186953
19.220268,17.120436,16.159363,15.636113,15.227714,2,0.0684938,0.000144907
17.429773,16.233366,15.711583,15.425963,15.164189,2,0.0218716,8.17444e-05
18.748486,17.624554,17.207756,17.018177,16.88627,2,0.0219939,8.90175e-05
